timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718516651143,55,Multiples loggeos,200,OK,Login 2-52,text,true,,393,230,1,2,http://localhost:5000/api/login,55,0,0
1718516651242,55,Multiples loggeos,200,OK,Login 2-53,text,true,,393,230,1,1,http://localhost:5000/api/login,55,0,1
1718516651342,57,Multiples loggeos,200,OK,Login 2-54,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516651442,54,Multiples loggeos,200,OK,Login 2-55,text,true,,393,230,1,2,http://localhost:5000/api/login,54,0,0
1718516651542,54,Multiples loggeos,200,OK,Login 2-56,text,true,,393,230,1,1,http://localhost:5000/api/login,54,0,0
1718516651642,57,Multiples loggeos,200,OK,Login 2-57,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516651742,54,Multiples loggeos,200,OK,Login 2-58,text,true,,393,230,1,2,http://localhost:5000/api/login,54,0,0
1718516651841,55,Multiples loggeos,200,OK,Login 2-59,text,true,,393,230,1,1,http://localhost:5000/api/login,55,0,1
1718516651942,57,Multiples loggeos,200,OK,Login 2-60,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516652042,54,Multiples loggeos,200,OK,Login 2-61,text,true,,393,230,1,2,http://localhost:5000/api/login,54,0,0
1718516652143,54,Multiples loggeos,200,OK,Login 2-62,text,true,,393,230,1,1,http://localhost:5000/api/login,54,0,0
1718516652243,58,Multiples loggeos,200,OK,Login 2-63,text,true,,393,230,1,1,http://localhost:5000/api/login,58,0,0
1718516652343,55,Multiples loggeos,200,OK,Login 2-64,text,true,,393,230,1,2,http://localhost:5000/api/login,54,0,1
1718516652442,54,Multiples loggeos,200,OK,Login 2-65,text,true,,393,230,1,1,http://localhost:5000/api/login,54,0,0
1718516652542,57,Multiples loggeos,200,OK,Login 2-66,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,1
1718516652643,54,Multiples loggeos,200,OK,Login 2-67,text,true,,393,230,1,2,http://localhost:5000/api/login,54,0,0
1718516652743,54,Multiples loggeos,200,OK,Login 2-68,text,true,,393,230,1,1,http://localhost:5000/api/login,54,0,0
1718516652842,58,Multiples loggeos,200,OK,Login 2-69,text,true,,393,230,1,1,http://localhost:5000/api/login,58,0,1
1718516652942,55,Multiples loggeos,200,OK,Login 2-70,text,true,,393,230,1,2,http://localhost:5000/api/login,55,0,1
1718516653043,54,Multiples loggeos,200,OK,Login 2-71,text,true,,393,230,1,1,http://localhost:5000/api/login,54,0,0
1718516653142,58,Multiples loggeos,200,OK,Login 2-72,text,true,,393,230,1,1,http://localhost:5000/api/login,58,0,1
1718516653242,54,Multiples loggeos,200,OK,Login 2-73,text,true,,393,230,1,2,http://localhost:5000/api/login,54,0,0
1718516653343,55,Multiples loggeos,200,OK,Login 2-74,text,true,,393,230,1,1,http://localhost:5000/api/login,55,0,1
1718516653443,57,Multiples loggeos,200,OK,Login 2-75,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516653542,55,Multiples loggeos,200,OK,Login 2-76,text,true,,393,230,1,2,http://localhost:5000/api/login,54,0,0
1718516653642,54,Multiples loggeos,200,OK,Login 2-77,text,true,,393,230,1,1,http://localhost:5000/api/login,54,0,0
1718516653743,57,Multiples loggeos,200,OK,Login 2-78,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516653842,54,Multiples loggeos,200,OK,Login 2-79,text,true,,393,230,1,2,http://localhost:5000/api/login,54,0,0
1718516653942,58,Multiples loggeos,200,OK,Login 2-80,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516654043,58,Multiples loggeos,200,OK,Login 2-81,text,true,,393,230,1,1,http://localhost:5000/api/login,58,0,0
1718516654142,55,Multiples loggeos,200,OK,Login 2-82,text,true,,393,230,1,2,http://localhost:5000/api/login,55,0,1
1718516654242,55,Multiples loggeos,200,OK,Login 2-83,text,true,,393,230,1,1,http://localhost:5000/api/login,55,0,0
1718516654342,57,Multiples loggeos,200,OK,Login 2-84,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,1
1718516654442,55,Multiples loggeos,200,OK,Login 2-85,text,true,,393,230,1,2,http://localhost:5000/api/login,55,0,1
1718516654543,55,Multiples loggeos,200,OK,Login 2-86,text,true,,393,230,1,1,http://localhost:5000/api/login,55,0,1
1718516654643,58,Multiples loggeos,200,OK,Login 2-87,text,true,,393,230,1,1,http://localhost:5000/api/login,58,0,1
1718516654743,55,Multiples loggeos,200,OK,Login 2-88,text,true,,393,230,1,2,http://localhost:5000/api/login,55,0,1
1718516654842,55,Multiples loggeos,200,OK,Login 2-89,text,true,,393,230,1,1,http://localhost:5000/api/login,55,0,1
1718516654943,57,Multiples loggeos,200,OK,Login 2-90,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516655042,54,Multiples loggeos,200,OK,Login 2-91,text,true,,393,230,1,2,http://localhost:5000/api/login,54,0,0
1718516655142,55,Multiples loggeos,200,OK,Login 2-92,text,true,,393,230,1,1,http://localhost:5000/api/login,55,0,1
1718516655242,58,Multiples loggeos,200,OK,Login 2-93,text,true,,393,230,1,1,http://localhost:5000/api/login,58,0,1
1718516655342,54,Multiples loggeos,200,OK,Login 2-94,text,true,,393,230,1,2,http://localhost:5000/api/login,54,0,0
1718516655442,55,Multiples loggeos,200,OK,Login 2-95,text,true,,393,230,1,1,http://localhost:5000/api/login,55,0,0
1718516655543,57,Multiples loggeos,200,OK,Login 2-96,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516655642,55,Multiples loggeos,200,OK,Login 2-97,text,true,,393,230,1,2,http://localhost:5000/api/login,55,0,1
1718516655743,55,Multiples loggeos,200,OK,Login 2-98,text,true,,393,230,1,1,http://localhost:5000/api/login,55,0,1
1718516655843,58,Multiples loggeos,200,OK,Login 2-99,text,true,,393,230,1,1,http://localhost:5000/api/login,58,0,1
1718516655942,61,Multiples loggeos,200,OK,Login 2-100,text,true,,393,230,1,2,http://localhost:5000/api/login,61,0,0
