timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718516646026,68,Registro de users,201,Created,users 1-1,text,true,,315,334,1,3,http://localhost:5000/api/usuarios,68,0,1
1718516646130,56,Registro de users,500,Internal Server Error,users 1-2,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,1
1718516646237,59,Registro de users,500,Internal Server Error,users 1-3,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,0
1718516646326,55,Registro de users,500,Internal Server Error,users 1-4,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,55,0,0
1718516646426,60,Registro de users,500,Internal Server Error,users 1-5,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,60,0,1
1718516646526,58,Registro de users,500,Internal Server Error,users 1-6,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,58,0,1
1718516646626,59,Registro de users,500,Internal Server Error,users 1-7,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,0
1718516646725,59,Registro de users,500,Internal Server Error,users 1-8,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,1
1718516646826,59,Registro de users,500,Internal Server Error,users 1-9,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,1
1718516646926,59,Registro de users,500,Internal Server Error,users 1-10,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,59,0,0
1718516647025,56,Registro de users,500,Internal Server Error,users 1-11,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,0
1718516647126,59,Registro de users,500,Internal Server Error,users 1-12,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,59,0,0
1718516647226,57,Registro de users,500,Internal Server Error,users 1-13,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,57,0,1
1718516647327,60,Registro de users,500,Internal Server Error,users 1-14,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,60,0,0
1718516647426,56,Registro de users,500,Internal Server Error,users 1-15,text,false,,327,334,1,2,http://localhost:5000/api/usuarios,56,0,0
1718516647526,64,Registro de users,500,Internal Server Error,users 1-16,text,false,,327,334,1,3,http://localhost:5000/api/usuarios,64,0,0
